title,audio_url,description,duration,season,episode,cover_image_url
Faith in Daily Life,https://www.soundhelix.com/examples/mp3/SoundHelix-Song-1.mp3,Exploring how faith shapes our everyday choices.,1800,1,1,https://picsum.photos/seed/podcast1/400/400
Walking With Purpose,https://www.soundhelix.com/examples/mp3/SoundHelix-Song-2.mp3,Tips and stories to align your life with purpose.,2100,1,2,https://picsum.photos/seed/podcast2/400/400
Overcoming Challenges,https://www.soundhelix.com/examples/mp3/SoundHelix-Song-3.mp3,Practical guidance to overcome life’s obstacles with hope.,1950,1,3,https://picsum.photos/seed/podcast3/400/400
Power of Prayer,https://www.soundhelix.com/examples/mp3/SoundHelix-Song-4.mp3,How consistent prayer can transform your life and mindset.,2200,1,4,https://picsum.photos/seed/podcast4/400/400
Faithful Leadership,https://www.soundhelix.com/examples/mp3/SoundHelix-Song-5.mp3,Leading with integrity and faith in every decision.,2000,1,5,https://picsum.photos/seed/podcast5/400/400
Living with Gratitude,https://www.soundhelix.com/examples/mp3/SoundHelix-Song-6.mp3,How practicing gratitude can improve your outlook on life.,1900,1,6,https://picsum.photos/seed/podcast6/400/400
Hope in Hard Times,https://www.soundhelix.com/examples/mp3/SoundHelix-Song-7.mp3,Finding hope when circumstances feel overwhelming.,2050,1,7,https://picsum.photos/seed/podcast7/400/400
Spiritual Growth Tips,https://www.soundhelix.com/examples/mp3/SoundHelix-Song-8.mp3,Simple ways to grow spiritually every day.,1800,1,8,https://picsum.photos/seed/podcast8/400/400
Faith and Family,https://www.soundhelix.com/examples/mp3/SoundHelix-Song-9.mp3,Building a strong family foundation through faith.,2000,1,9,https://picsum.photos/seed/podcast9/400/400
Mindful Meditation,https://www.soundhelix.com/examples/mp3/SoundHelix-Song-10.mp3,Incorporating meditation to strengthen spiritual focus.,2100,1,10,https://picsum.photos/seed/podcast10/400/400
Acts of Kindness,https://www.soundhelix.com/examples/mp3/SoundHelix-Song-11.mp3,Small acts of kindness that create big impact.,1950,1,11,https://picsum.photos/seed/podcast11/400/400
Daily Devotions,https://www.soundhelix.com/examples/mp3/SoundHelix-Song-12.mp3,Daily devotionals to inspire your morning routine.,2200,1,12,https://picsum.photos/seed/podcast12/400/400
Faith at Work,https://www.soundhelix.com/examples/mp3/SoundHelix-Song-13.mp3,Applying faith principles in your professional life.,2000,1,13,https://picsum.photos/seed/podcast13/400/400
Overcoming Fear,https://www.soundhelix.com/examples/mp3/SoundHelix-Song-14.mp3,How to face fears with faith and confidence.,2100,1,14,https://picsum.photos/seed/podcast14/400/400
Joyful Living,https://www.soundhelix.com/examples/mp3/SoundHelix-Song-15.mp3,Discovering joy through gratitude and purpose.,1800,1,15,https://picsum.photos/seed/podcast15/400/400
Trusting God,https://www.soundhelix.com/examples/mp3/SoundHelix-Song-16.mp3,Building trust in God through everyday decisions.,1950,1,16,https://picsum.photos/seed/podcast16/400/400
Faith in Action,https://www.soundhelix.com/examples/mp3/SoundHelix-Song-17.mp3,Practical ways to live out your faith.,2050,1,17,https://picsum.photos/seed/podcast17/400/400
Inspirational Stories,https://www.soundhelix.com/examples/mp3/SoundHelix-Song-18.mp3,Real-life stories of faith transforming lives.,2000,1,18,https://picsum.photos/seed/podcast18/400/400
Living with Purpose,https://www.soundhelix.com/examples/mp3/SoundHelix-Song-19.mp3,How to align daily actions with your spiritual goals.,2100,1,19,https://picsum.photos/seed/podcast19/400/400
Faithful Friends,https://www.soundhelix.com/examples/mp3/SoundHelix-Song-20.mp3,Building lasting friendships grounded in faith.,1800,1,20,https://picsum.photos/seed/podcast20/400/400
